record_id,actor_pseudo_id,event_hour,day_of_week,month,quarter,is_weekend,is_business_hours,is_night_login,ip_country,continent,ip_version,login_type,login_challenge_method,new_ip,distinct_ips_7d,distinct_ips_30d,is_new_country,is_new_region,is_new_city,distinct_countries_cumulative,distinct_regions_cumulative,distinct_cities_cumulative,country_changed,continent_changed,countries_seen_30d,regions_seen_30d,cities_seen_30d,logins_24h,logins_7d,logins_30d,avg_logins_per_day,hours_since_last_login,days_since_first_login,abnormal_login_hour,abnormal_weekday,impossible_travel,travel_distance_km,travel_speed_kmh,multiple_country_logins_24h,distinct_users_per_network_24h,geo_jump,risk_score,risk_level,label
42659,U000001,14.0,0.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,8.0,24.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,3,8,27,0.9,7.01,65.0,0,0,0,0.0,0.0,1,1.0,0,-67.97,low,0
42445,U000001,8.0,2.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,7.0,25.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,1,7,28,0.93,41.98,67.0,0,0,0,0.0,0.0,1,1.0,0,-67.97,low,0
42205,U000001,11.0,3.0,2.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,7.0,26.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,1,7,29,0.97,26.49,68.0,0,0,0,0.0,0.0,1,1.0,0,-67.97,low,0
44731,U000001,7.0,6.0,3.0,1.0,1,0,0,Angola,Africa,4.0,exchange,none,1,6.0,27.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,1,6,30,1.0,68.59,71.0,0,1,0,0.0,0.0,1,1.0,0,-67.97,low,0
44730,U000001,7.0,6.0,3.0,1.0,1,0,0,Angola,Africa,4.0,exchange,none,0,6.0,27.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,2,7,31,1.03,0.0,71.0,0,1,0,0.0,0.0,1,1.0,0,-26.97,low,0
44729,U000001,7.0,6.0,3.0,1.0,1,0,0,Angola,Africa,4.0,exchange,none,0,6.0,27.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,3,8,32,1.07,0.0,71.0,0,1,0,0.0,0.0,1,1.0,0,-26.97,low,0
44466,U000001,7.0,1.0,3.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,4.0,28.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,1,6,33,1.1,48.1,73.0,0,0,0,0.0,0.0,1,1.0,0,-67.97,low,0
44162,U000001,18.0,2.0,3.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,4.0,28.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,1,6,33,1.1,34.32,74.0,0,0,0,8231.22,239.84,1,1.0,0,-67.97,low,0
43871,U000001,5.0,4.0,3.0,1.0,0,0,1,Angola,Africa,4.0,exchange,none,1,4.0,29.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,1,6,34,1.13,35.49,76.0,0,0,0,8231.22,231.93,1,1.0,0,-67.97,low,0
43638,U000001,10.0,5.0,3.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,5.0,29.0,0,0,0,2,2,2,0,0,2.0,2.0,2.0,1,7,34,1.13,29.16,77.0,0,1,0,0.0,0.0,1,1.0,0,-67.97,low,0
43539,U000001,16.0,6.0,3.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,5.0,29.0,0,0,1,2,2,3,0,0,2.0,2.0,3.0,1,5,34,1.13,29.83,78.0,0,1,0,6428.84,215.52,1,1.0,0,-67.97,low,0
46326,U000001,6.0,3.0,3.0,1.0,0,0,1,Angola,Africa,4.0,exchange,none,1,4.0,24.0,0,0,0,2,2,3,0,0,2.0,2.0,3.0,1,4,26,0.87,86.02,82.0,0,0,0,6428.84,74.74,1,1.0,0,-67.97,low,0
45847,U000001,21.0,4.0,3.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,4.0,21.0,0,0,0,2,2,3,0,0,2.0,2.0,3.0,1,4,23,0.77,38.51,83.0,0,0,0,0.0,0.0,1,1.0,0,-67.97,low,0
45766,U000001,11.0,6.0,3.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,4.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,4,21,0.7,38.72,85.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
45765,U000001,11.0,6.0,3.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,0,4.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,2,5,22,0.73,0.0,85.0,0,1,0,0.0,0.0,0,1.0,0,1.03,low,0
45340,U000001,21.0,1.0,3.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,4.0,20.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,23,0.77,57.08,87.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
45027,U000001,15.0,3.0,3.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,4.0,21.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,24,0.8,42.35,89.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
48515,U000001,5.0,5.0,3.0,1.0,1,0,1,Angola,Africa,4.0,exchange,none,1,4.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,22,0.73,38.22,91.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
48389,U000001,19.0,6.0,3.0,1.0,1,0,0,Angola,Africa,4.0,exchange,none,1,4.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,4,22,0.73,37.57,92.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
48314,U000001,19.0,0.0,3.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,5.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,22,0.73,24.56,93.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
47757,U000001,20.0,2.0,3.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,5.0,17.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,20,0.67,48.91,95.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
47534,U000001,6.0,4.0,3.0,1.0,0,0,1,Angola,Africa,4.0,exchange,none,1,5.0,18.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,21,0.7,33.52,97.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
47289,U000001,15.0,5.0,3.0,1.0,1,1,0,Angola,Africa,4.0,exchange,none,1,5.0,17.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,20,0.67,33.32,98.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
47136,U000001,7.0,0.0,3.0,1.0,0,0,0,Angola,Africa,4.0,exchange,none,1,5.0,18.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,21,0.7,40.25,100.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
46645,U000001,16.0,1.0,3.0,1.0,0,1,0,Angola,Africa,4.0,exchange,none,1,5.0,18.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,19,0.63,33.22,101.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
5426,U000001,6.0,3.0,4.0,2.0,0,0,1,Angola,Africa,4.0,exchange,none,1,5.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,20,0.67,37.4,103.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
5145,U000001,9.0,4.0,4.0,2.0,0,1,0,Angola,Africa,4.0,exchange,none,1,5.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,5,20,0.67,27.52,104.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
5049,U000001,14.0,5.0,4.0,2.0,1,1,0,Angola,Africa,4.0,exchange,none,1,6.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,6,20,0.67,28.93,105.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
4969,U000001,16.0,6.0,4.0,2.0,1,1,0,Angola,Africa,4.0,exchange,none,1,6.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,6,20,0.67,26.04,106.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
4628,U000001,6.0,1.0,4.0,2.0,0,0,1,Angola,Africa,4.0,exchange,none,1,6.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,2.0,1,6,20,0.67,37.77,108.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
4201,U000001,12.0,2.0,4.0,2.0,0,1,0,Angola,Africa,4.0,exchange,none,1,6.0,19.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,6,20,0.67,29.79,109.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
3781,U000001,21.0,3.0,4.0,2.0,0,0,0,Angola,Africa,4.0,exchange,none,1,6.0,20.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,6,21,0.7,32.73,110.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
7757,U000001,21.0,5.0,4.0,2.0,1,0,0,Angola,Africa,4.0,exchange,none,1,5.0,20.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,5,21,0.7,48.5,113.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
7494,U000001,13.0,0.0,4.0,2.0,0,1,0,Angola,Africa,4.0,exchange,none,1,5.0,20.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,5,21,0.7,40.12,114.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
7142,U000001,17.0,1.0,4.0,2.0,0,1,0,Angola,Africa,4.0,exchange,none,1,5.0,20.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,5,20,0.67,27.73,115.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
6816,U000001,5.0,3.0,4.0,2.0,0,0,1,Angola,Africa,4.0,exchange,none,1,5.0,21.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,5,21,0.7,36.18,117.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
6506,U000001,7.0,4.0,4.0,2.0,0,0,0,Angola,Africa,4.0,exchange,none,1,5.0,21.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,5,21,0.7,25.43,118.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
6188,U000001,7.0,5.0,4.0,2.0,1,0,0,Angola,Africa,4.0,exchange,none,1,6.0,22.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,6,22,0.73,24.58,119.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
6090,U000001,13.0,6.0,4.0,2.0,1,1,0,Angola,Africa,4.0,exchange,none,1,6.0,22.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,6,22,0.73,29.65,120.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
5775,U000001,17.0,0.0,4.0,2.0,0,1,0,Angola,Africa,4.0,exchange,none,1,6.0,22.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,6,22,0.73,28.04,121.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
9157,U000001,15.0,2.0,4.0,2.0,0,1,0,Angola,Africa,4.0,exchange,none,1,6.0,22.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,6,22,0.73,46.33,123.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
8790,U000001,20.0,3.0,4.0,2.0,0,0,0,Angola,Africa,4.0,exchange,none,1,6.0,22.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,6,22,0.73,29.17,124.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
8510,U000001,22.0,4.0,4.0,2.0,0,0,1,Angola,Africa,4.0,exchange,none,1,6.0,22.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,6,22,0.73,25.56,126.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
8398,U000001,10.0,6.0,4.0,2.0,1,1,0,Angola,Africa,4.0,exchange,none,1,6.0,22.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,6,22,0.73,36.42,127.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
8219,U000001,19.0,0.0,4.0,2.0,0,0,0,Angola,Africa,4.0,exchange,none,1,5.0,22.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,5,22,0.73,32.99,128.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
8069,U000001,7.0,2.0,4.0,2.0,0,0,0,Angola,Africa,4.0,exchange,none,1,6.0,23.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,6,23,0.77,35.22,130.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
14982,U000001,15.0,4.0,5.0,2.0,0,1,0,Angola,Africa,4.0,exchange,none,1,5.0,22.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,5,22,0.73,56.05,132.0,0,0,0,0.0,0.0,0,1.0,0,-39.97,low,0
14819,U000001,7.0,6.0,5.0,2.0,1,0,0,Angola,Africa,4.0,exchange,none,1,5.0,22.0,0,0,0,2,2,3,0,0,1.0,1.0,1.0,1,5,22,0.73,40.63,134.0,0,1,0,0.0,0.0,0,1.0,0,-39.97,low,0
